time,direction,order_id,price,symbol
2025-12-09 20:05:03.569897,BUY,0,0.0,EURUSD
2025-12-09 20:05:04.579307,BUY,0,0.0,EURUSD
2025-12-09 20:05:05.589555,BUY,0,0.0,EURUSD
2025-12-09 20:05:06.600241,BUY,0,0.0,EURUSD
2025-12-09 20:05:07.610602,BUY,0,0.0,EURUSD
2025-12-09 20:05:08.619420,BUY,0,0.0,EURUSD
2025-12-09 20:05:09.627021,BUY,0,0.0,EURUSD
2025-12-09 20:05:10.632505,BUY,0,0.0,EURUSD
2025-12-09 20:05:11.644767,BUY,0,0.0,EURUSD
2025-12-09 20:05:12.650602,BUY,0,0.0,EURUSD
2025-12-09 20:05:13.664927,BUY,0,0.0,EURUSD
2025-12-09 20:05:14.677348,BUY,0,0.0,EURUSD
2025-12-09 20:05:15.695027,BUY,0,0.0,EURUSD
2025-12-09 20:05:16.732855,BUY,0,0.0,EURUSD
2025-12-09 20:05:17.747937,BUY,0,0.0,EURUSD
2025-12-09 20:05:18.763105,BUY,0,0.0,EURUSD
2025-12-09 20:05:19.777716,BUY,0,0.0,EURUSD
2025-12-09 20:05:20.793733,BUY,0,0.0,EURUSD
2025-12-09 20:05:21.810046,BUY,0,0.0,EURUSD
2025-12-09 20:05:22.824415,BUY,0,0.0,EURUSD
2025-12-09 20:05:23.836077,BUY,0,0.0,EURUSD
2025-12-09 20:05:24.847380,BUY,0,0.0,EURUSD
2025-12-09 20:05:25.858189,BUY,0,0.0,EURUSD
2025-12-09 20:05:26.868581,BUY,0,0.0,EURUSD
2025-12-09 20:05:27.879665,BUY,0,0.0,EURUSD
2025-12-09 20:05:28.894351,BUY,0,0.0,EURUSD
2025-12-10 07:29:21.793044,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:21.782148
2025-12-10 07:29:22.216350,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:22.198897
2025-12-10 07:29:22.658776,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:22.637187
2025-12-10 07:29:23.076974,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:23.062195
2025-12-10 07:29:23.485092,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:23.467332
2025-12-10 07:29:23.944575,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:23.927331
2025-12-10 07:29:24.374204,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:24.360983
2025-12-10 07:29:24.798813,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:24.784199
2025-12-10 07:29:25.302942,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:25.229040
2025-12-10 07:29:25.722433,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:25.675206
2025-12-10 07:31:01.865519,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:31:01.786945
2025-12-10 07:31:02.282520,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:31:02.258002
2025-12-10 07:31:02.725048,CALL,1.16273,1.16255,-10,2025-12-10 07:31:02.712114
2025-12-10 07:31:03.161975,PUT,1.1625,1.1627399999999999,-10,2025-12-10 07:31:03.153824
2025-12-10 07:31:03.646254,PUT,1.1625,1.1627399999999999,-10,2025-12-10 07:31:03.630694
2025-12-10 07:31:04.066278,PUT,1.1625,1.1627399999999999,-10,2025-12-10 07:31:04.055554
